"label","text"
"pos","Immunotherapy in cat-induced asthma. Double-blind trial with evaluation of bronchial responses to cat allergen and histamine."
"neg","The Cost of Asthma Treatment in Phramongkutlao Hospital: Population-Based Study in Adults."
"neg","Longitudinal depression or anxiety in mothers and offspring asthma: a Swedish population-based study."
"pos","Pirbuterol in the treatment of bronchial asthma."
"neg","Bone mineral density in perimenopausal women with asthma: a population-based cross-sectional study."
"pos","Long-term study comparing fenoterol and isoproterenol inhalation in asthmatic patients."
"neg","Applications of hyperpolarized helium-3 gas magnetic resonance imaging in pediatric lung disease."
"pos","Exhaled nitric oxide in children with asthma receiving Xolair (omalizumab), a monoclonal anti-immunoglobulin E antibody."
"neg","Clinical significance of Aspergillus sensitisation in bronchial asthma."
"pos","Safety and efficacy of HFA-134a beclomethasone dipropionate extra-fine aerosol over six months."
"neg","Bronchial asthma and diabetes mellitus. Experimental evidences of mutual exclusion."
"pos","Assessment of a relative therapeutic index between inhaled formoterol and salbuterol in asthma patients."
"neg","Th2 cytokines and asthma. Interleukin-9 as a therapeutic target for asthma."
"neg","Long-acting beta 2-stimulants."
"neg","A genome-wide association study of total serum and mite-specific IgEs in asthma patients."
"neg","Anti-inflammatory effects of the R2 peptide, an inhibitor of transglutaminase 2, in a mouse model of allergic asthma, induced by ovalbumin."
"pos","Omalizumab is effective in allergic and nonallergic patients with nasal polyps and asthma."
"pos","Efficacy of Jia Wei Yang He formula as an adjunctive therapy for asthma: study protocol for a randomized, double blinded, controlled trial."
"neg","Psychiatric co-morbidity and asthma: A pilot study utilizing a free use tool to improve asthma care."
"neg","Do allergens play a role in early childhood asthma?"
"neg","Young individuals with atopic disease and asthma or rhinoconjunctivitis may have clinically relevant contact allergies."
"neg","COPD: clinical phenotypes."
"pos","A dual CysLT 1/2 antagonist attenuates allergen-induced airway responses in subjects with mild allergic asthma."
"pos","Characterisation of an OCS-dependent severe asthma population treated with mepolizumab."
"neg","Impact of asthma on bronchiectasis severity and risk of exacerbations."
"neg","Peak flow variation in childhood asthma: relationship to symptoms, atopy, airways obstruction and hyperresponsiveness. Dutch CNSLD Study Group."
"neg","Extracellular vesicles and asthma: A review of the literature."
"neg","""Functional relaxation"" as a method in anthropologic medicine."
"pos","Effects of Perennial Allergen Immunotherapy in Allergic Rhinitis in Patients with/without Asthma: A-Randomized Controlled Real-Life Study."
"pos","Potential effects of fluticasone propionate on bone mineral density in patients with asthma: a 2-year randomized, double-blind, placebo-controlled trial."
"neg","Contemporaneous International Asthma Guidelines Present Differing Recommendations: An Analysis."
"neg","Spontaneous pneumomediastinum: analysis of 87 pediatric patients."
"neg","Ambient ultrafine particles and asthma onset until age 20: The PIAMA birth cohort."
